fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
00414fc5519233b4,9e50097a89442158,1,0,41,28,38,25,3,3,0,0,39,26,0,0,2,2,43,30,0,0,0,0,0:00
004885f7983f4658,2aa49b3766a59bcd,1,1,57,24,48,18,8,5,1,1,41,17,12,6,4,1,58,25,0,0,0,0,1:27
004885f7983f4658,2aa49b3766a59bcd,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0:00
004885f7983f4658,31123249b0bbf52e,1,0,61,22,49,14,11,8,1,0,47,13,0,0,14,9,61,22,1,0,1,0,0:00
004885f7983f4658,31123249b0bbf52e,2,0,23,18,18,13,5,5,0,0,7,4,13,11,3,3,24,19,0,0,0,0,0:35
00494c77d2a88f8c,08af939f41b5a57b,1,0,38,18,19,4,17,13,2,1,24,7,0,0,14,11,43,22,4,0,0,0,0:37
00494c77d2a88f8c,08af939f41b5a57b,2,0,37,20,18,7,12,6,7,7,21,9,0,0,16,11,40,23,0,0,0,0,2:13
00494c77d2a88f8c,08af939f41b5a57b,3,0,45,22,24,9,15,9,6,4,26,9,0,0,19,13,51,28,1,0,0,0,1:20
00494c77d2a88f8c,7ea1f74cef32f906,1,0,19,13,13,8,3,2,3,3,9,7,2,0,8,6,34,26,1,1,0,0,1:26
00494c77d2a88f8c,7ea1f74cef32f906,2,0,21,11,15,6,6,5,0,0,16,8,0,0,5,3,42,24,1,0,0,0,0:01
00494c77d2a88f8c,7ea1f74cef32f906,3,0,38,17,27,10,11,7,0,0,32,13,0,0,6,4,53,29,0,0,0,0,1:16
004b9368337d3cd6,b034747dc1d15491,1,0,23,6,18,1,5,5,0,0,23,6,0,0,0,0,23,6,0,0,0,0,0:00
004b9368337d3cd6,d1152823307d7e7c,1,1,46,26,27,7,6,6,13,13,40,20,2,2,4,4,49,29,0,0,0,0,0:03
0051d7fbb7893d27,282fa667ff9c51ed,1,0,18,12,15,9,3,3,0,0,13,7,2,2,3,3,24,18,0,0,0,1,2:56
0051d7fbb7893d27,282fa667ff9c51ed,2,0,8,3,8,3,0,0,0,0,8,3,0,0,0,0,30,24,0,0,1,1,1:31
0051d7fbb7893d27,282fa667ff9c51ed,3,0,14,6,11,5,2,1,1,0,14,6,0,0,0,0,21,13,0,0,0,0,0:00
0051d7fbb7893d27,b6c4451cb13c9303,1,0,8,2,5,0,3,2,0,0,8,2,0,0,0,0,51,44,2,1,0,0,1:10
0051d7fbb7893d27,b6c4451cb13c9303,2,0,6,4,4,2,0,0,2,2,6,4,0,0,0,0,21,18,3,0,0,0,2:46
0051d7fbb7893d27,b6c4451cb13c9303,3,0,37,21,25,12,9,6,3,3,28,17,9,4,0,0,66,50,1,1,0,0,3:48
00566b4d89565373,78114b7199cef90c,1,0,19,13,16,10,2,2,1,1,13,7,6,6,0,0,52,43,1,1,0,0,2:41
00566b4d89565373,78114b7199cef90c,2,1,27,16,19,10,5,3,3,3,25,15,1,1,1,0,27,16,1,0,1,0,0:14
00566b4d89565373,d0314416a7f26527,1,0,8,3,6,1,1,1,1,1,8,3,0,0,0,0,10,5,0,0,0,0,0:00
00566b4d89565373,d0314416a7f26527,2,0,19,6,18,5,0,0,1,1,19,6,0,0,0,0,19,6,0,0,0,0,0:03
