fight_id,event_id,referee,fighter_1,fighter_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,time_format,scores_1,scores_2
9bc042a700d9a531,1ef0eae31904e534,Dan Miragliotta,7d96bc577e5178b2,6fb1ba67bef41b37,6fb1ba67bef41b37,3,F,Lightweight,M,KO/TKO,Kick to Head At Distance,2,1:19,3 Rnd (5-5-5),,
adee1fc200ed1a12,1ef0eae31904e534,Jason Herzog,eb04b9d31e938edb,b6850671a008bf9a,eb04b9d31e938edb,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,81
c835ccffa472970e,1ef0eae31904e534,Jason Herzog,df1eb4354d18a906,cd7763bcadb5d4c8,df1eb4354d18a906,3,F,Lightweight,M,KO/TKO,Elbows to Head From Mount,3,3:42,3 Rnd (5-5-5),,
e2e524bb5392a3ea,1ef0eae31904e534,Chris Tognoni,d4691518d012b9e7,b12a1d19ee383b7c,d4691518d012b9e7,3,F,Women's Bantamweight,F,KO/TKO,Punches to Head From Back Control,1,3:26,3 Rnd (5-5-5),,
21ebc940f3dfde82,1f5f75658551f2d3,Herb Dean,d188a3b817860ec6,48e96d9cea6d4ab0,d188a3b817860ec6,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
25783a9abbfee4fc,1f5f75658551f2d3,Steve Mazzagatti,b72a60a0cadff408,ffc3e6daaa6da0b7,ffc3e6daaa6da0b7,3,F,Bantamweight,M,KO/TKO,Knees to Body On Ground,3,1:58,3 Rnd (5-5-5),,
381b2df85ac06615,1f5f75658551f2d3,Chris Tognoni,22a92d7f62195791,5f04e3d58d9ce982,22a92d7f62195791,3,F,Lightweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
6e85d8d17c3eed58,1f5f75658551f2d3,Josh Rosenthal,c2e3e67b5911bfb7,6f242453c91a5af0,c2e3e67b5911bfb7,3,T,Featherweight,M,Submission,Armbar From Bottom Guard,1,4:51,3 Rnd (5-5-5),,
72481ce1897251cd,1f5f75658551f2d3,Herb Dean,55f80a8aeffcdb33,7bd94b60d7521e4a,7bd94b60d7521e4a,3,F,Bantamweight,M,KO/TKO,Punches to Head From Half Guard,1,1:09,3 Rnd (5-5-5),,
9821faf6a5d6fd0d,1f5f75658551f2d3,Josh Rosenthal,81801f57bd0a7c41,1cecc8fe6748a532,81801f57bd0a7c41,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
9a3908ab337c5f3f,1f5f75658551f2d3,Herb Dean,c849740a3ff51931,99506df1af6c8b3b,99506df1af6c8b3b,3,T,Bantamweight,M,KO/TKO,Punches to Head At Distance,1,1:54,3 Rnd (5-5-5),,
b28aad0fdc0b8cc0,1f5f75658551f2d3,Josh Rosenthal,5ef0088c1b19beeb,e503aa5c252a1b4d,5ef0088c1b19beeb,3,F,Featherweight,M,Submission,Rear Naked Choke,2,3:38,3 Rnd (5-5-5),,
c302f24082239f82,1f5f75658551f2d3,Chris Tognoni,173acb3f920082b8,b0f316c60f8d3b47,173acb3f920082b8,3,F,Bantamweight,M,Submission,Rear Naked Choke,3,0:22,3 Rnd (5-5-5),,
f182b13c6e07dfb1,1f5f75658551f2d3,Steve Mazzagatti,2b93ebd9f5417ad2,b2f88c04c4dd43ce,2b93ebd9f5417ad2,5,F,Middleweight,M,KO/TKO,Knees to Body On Ground,3,3:34,5 Rnd (5-5-5-5-5),,
226884e46a10865d,1f9344211ca7fd60,Mark Smith,e5549c82bfb5582d,12ebd7d157e91701,e5549c82bfb5582d,3,F,Middleweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,81
23eec2d9cb2d78cd,1f9344211ca7fd60,Herb Dean,749f572d1d3161fb,37d5b176d438d2a5,749f572d1d3161fb,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,2,0:25,3 Rnd (5-5-5),,
26fbee4ed13ff35d,1f9344211ca7fd60,Chris Tognoni,6fd953151d981979,38c7f72747f4f712,6fd953151d981979,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,81
3b06c512abfa0494,1f9344211ca7fd60,Herb Dean,4aa58269d0664b5b,725b1abc9a39d873,4aa58269d0664b5b,3,F,Welterweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
463fac0e48505b62,1f9344211ca7fd60,Keith Peterson,519e4fe37ce9ff75,809bd1a871491508,519e4fe37ce9ff75,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,1,3:17,3 Rnd (5-5-5),,
5cad3ab6553e9ec9,1f9344211ca7fd60,Chris Tognoni,29af297d9f1de0f8,c7d7fda69ec410d3,29af297d9f1de0f8,3,F,Featherweight,M,Submission,Arm Triangle From Half Guard,2,4:42,3 Rnd (5-5-5),,
70b8d357e89383bd,1f9344211ca7fd60,Chris Tognoni,94426bb170c88115,7aa3d6964eff4877,94426bb170c88115,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
8aa16cc1ba99aac1,1f9344211ca7fd60,Mark Smith,dea070ed4a2a8281,d802174b0c0c1f4e,d802174b0c0c1f4e,5,F,Light Heavyweight,M,Decision,Unanimous,5,5:00,5 Rnd (5-5-5-5-5),139,146
9b46a662b8fa1d8d,1f9344211ca7fd60,Keith Peterson,fea79f9bc8c68769,efb96bf3e9ada36f,efb96bf3e9ada36f,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:06,3 Rnd (5-5-5),,
9cb78122a23e6a7d,1f9344211ca7fd60,Mark Smith,ce632027bf2a871b,f14f644d41ade29f,f14f644d41ade29f,3,F,Middleweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:41,3 Rnd (5-5-5),,
b400c29fbeee0206,1f9344211ca7fd60,Chris Tognoni,9c27f3217891f3f0,d05412b513b19621,d05412b513b19621,3,F,Bantamweight,M,KO/TKO,Punches to Head At Distance,1,2:07,3 Rnd (5-5-5),,
b55de7d791b9f62d,1f9344211ca7fd60,Keith Peterson,70d2329a92864fdb,f29a6350c69f4a33,f29a6350c69f4a33,3,F,Women's Flyweight,F,Submission,Rear Naked Choke,2,2:15,3 Rnd (5-5-5),,
