event_id,fight_id,fighter1_name,fighter2_name,winner,fighter1_fight_no,fighter2_fight_no,weight_class,gender,time_format,fighter1_total_fights,fighter1_win_ratio,fighter1_recent_win_ratio,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_form_score,fighter1_avg_strikes_landed,fighter1_avg_strikes_attempted,fighter1_avg_strikes_accuracy,fighter1_avg_takedowns,fighter1_avg_takedown_accuracy,fighter1_avg_knockdowns,fighter1_ko_ratio,fighter1_avg_control_time,fighter1_head_accuracy,fighter1_head_per_round,fighter1_body_accuracy,fighter1_body_per_round,fighter1_leg_accuracy,fighter1_leg_per_round,fighter1_distance_accuracy,fighter1_distance_per_round,fighter1_clinch_accuracy,fighter1_clinch_per_round,fighter1_ground_accuracy,fighter1_ground_per_round,fighter2_total_fights,fighter2_win_ratio,fighter2_recent_win_ratio,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_form_score,fighter2_avg_strikes_landed,fighter2_avg_strikes_attempted,fighter2_avg_strikes_accuracy,fighter2_avg_takedowns,fighter2_avg_takedown_accuracy,fighter2_avg_knockdowns,fighter2_ko_ratio,fighter2_avg_control_time,fighter2_head_accuracy,fighter2_head_per_round,fighter2_body_accuracy,fighter2_body_per_round,fighter2_leg_accuracy,fighter2_leg_per_round,fighter2_distance_accuracy,fighter2_distance_per_round,fighter2_clinch_accuracy,fighter2_clinch_per_round,fighter2_ground_accuracy,fighter2_ground_per_round
b26d3e3746fb4024,cefb47bcc04f540e,d3df1add9d9a7efb,e9a3aeb207578eea,d3df1add9d9a7efb,14,7,Heavyweight,M,3 Rnd (5-5-5),10,0.7,0.3333333333333333,75.0,260.0,79.0,Orthodox,35.00068446269678,0.1,27.5,58.3,0.4716981132075472,0.2,0.16666666666666666,0.5,0.6,0.0,0.4166666666666667,7.5,0.6823529411764706,2.230769230769231,0.7333333333333333,0.8461538461538461,0.3827751196172249,6.153846153846154,0.6382978723404256,2.3076923076923075,0.7746478873239436,2.1153846153846154,7,0.5714285714285714,0.3333333333333333,70.0,230.0,73.0,Orthodox,37.53319644079398,-0.7,17.714285714285715,39.142857142857146,0.45255474452554745,0.5714285714285714,0.15384615384615385,0.5714285714285714,0.5714285714285714,0.0,0.3824884792626728,6.384615384615385,0.6060606060606061,1.5384615384615385,0.875,1.6153846153846154,0.40625,7.0,0.6111111111111112,1.6923076923076923,0.7857142857142857,0.8461538461538461
b26d3e3746fb4024,fae99a4089f8abb0,07f72a2a7591b409,2e19380f34871c6a,07f72a2a7591b409,18,6,Light Heavyweight,M,5 Rnd (5-5-5-5-5),13,0.9230769230769231,1.0,76.0,248.0,84.0,Orthodox,32.558521560574945,1.1000000000000003,78.46153846153847,130.84615384615384,0.599647266313933,1.5384615384615385,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.0,0.49007936507936506,10.51063829787234,0.7558528428093646,4.808510638297872,0.7614213197969543,6.382978723404255,0.5381062355658198,14.872340425531915,0.7627118644067796,2.872340425531915,0.8266666666666667,3.9574468085106385,3,1.0,1.0,76.0,205.0,77.0,Southpaw,30.119096509240247,1.2000000000000002,52.666666666666664,105.0,0.5015873015873016,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.35323383084577115,10.142857142857142,0.6461538461538462,6.0,0.9183673469387755,6.428571428571429,0.4584837545126354,18.142857142857142,0.8157894736842105,4.428571428571429,0.0,0.0
b26d3e3746fb4024,05cceae674c81b86,132deb59abae64b1,e872e9a9a902c045,132deb59abae64b1,6,4,Women's Flyweight,F,5 Rnd (5-5-5-5-5),5,0.8,1.0,65.0,125.0,66.0,Southpaw,31.923340177960302,1.1000000000000003,59.6,139.2,0.4281609195402299,2.2,0.44,0.2,0.2,0.0,0.3057324840764331,6.545454545454546,0.5217391304347826,1.6363636363636365,0.7564102564102564,5.363636363636363,0.4037854889589905,11.636363636363637,0.6388888888888888,1.0454545454545454,0.7307692307692307,0.8636363636363636,4,0.75,0.6666666666666666,69.0,125.0,68.0,Orthodox,31.1129363449692,0.8,70.5,201.0,0.35074626865671643,0.0,0.0,0.0,0.0,0.0,0.2844702467343977,16.333333333333332,0.7162162162162162,4.416666666666667,0.8048780487804879,2.75,0.33547557840616965,21.75,0.8,1.0,0.8181818181818182,0.75
b26d3e3746fb4024,be822403f364fff3,cbd3e590a85b18c5,82a5152216251682,82a5152216251682,6,3,Featherweight,M,3 Rnd (5-5-5),4,0.5,0.3333333333333333,68.0,145.0,70.0,Orthodox,28.97741273100616,-0.19999999999999998,21.5,51.5,0.4174757281553398,2.0,0.5,0.25,0.75,0.0,0.39572192513368987,12.333333333333334,0.5454545454545454,1.0,0.75,1.0,0.2631578947368421,6.666666666666667,0.875,1.1666666666666667,0.8478260869565217,6.5,1,1.0,1.0,67.0,145.0,71.0,Orthodox,28.50924024640657,0.5,71.0,125.0,0.568,1.0,0.25,1.0,0.0,0.0,0.5098039215686274,17.333333333333332,0.75,4.0,1.0,2.3333333333333335,0.4943820224719101,14.666666666666666,0.6666666666666666,2.0,0.7777777777777778,7.0
5df17b3620145578,f3e2038bfb9b5d9d,d1941565abf50b16,df1eb4354d18a906,df1eb4354d18a906,25,3,Lightweight,M,3 Rnd (5-5-5),24,0.5833333333333334,0.6666666666666666,68.0,155.0,71.0,Southpaw,36.46269678302532,0.7,27.875,66.45833333333333,0.419435736677116,1.0833333333333333,0.4126984126984127,0.0,0.125,0.0,0.30756578947368424,7.333333333333333,0.7365853658536585,2.9607843137254903,0.8275862068965517,2.823529411764706,0.3732612055641422,9.470588235294118,0.6338797814207651,2.2745098039215685,0.5932203389830508,1.3725490196078431,4,0.75,0.6666666666666666,69.0,155.0,69.0,Orthodox,36.37782340862423,0.6000000000000001,55.0,101.75,0.5405405405405406,2.25,0.6,0.5,0.25,0.0,0.48623853211009177,14.454545454545455,0.7962962962962963,3.909090909090909,0.6923076923076923,1.6363636363636365,0.4117647058823529,10.181818181818182,0.9117647058823529,2.8181818181818183,0.7623762376237624,7.0
5df17b3620145578,eab100e978c730c5,f9b200db02b488d9,813550bc53b15fb0,f9b200db02b488d9,5,12,Lightweight,M,3 Rnd (5-5-5),2,0.0,0.0,69.0,155.0,71.0,Orthodox,27.923340177960302,-0.9,37.5,101.5,0.3694581280788177,0.5,0.2,0.0,0.0,0.0,0.1896551724137931,3.6666666666666665,0.5476190476190477,3.8333333333333335,0.6666666666666666,5.0,0.3388888888888889,10.166666666666666,0.6086956521739131,2.3333333333333335,0.0,0.0,8,0.375,0.3333333333333333,70.0,155.0,75.0,Orthodox,32.440793976728266,-0.49999999999999994,35.0,100.875,0.3469640644361834,0.125,0.3333333333333333,0.625,0.625,0.0,0.2911764705882353,12.375,0.59375,3.5625,0.8064516129032258,1.5625,0.31309041835357626,14.5,0.6857142857142857,1.5,0.7741935483870968,1.5
5df17b3620145578,801b3f24c670f19a,5e4eec08896c9423,99df7d0a2a08a8a8,99df7d0a2a08a8a8,8,8,Light Heavyweight,M,5 Rnd (5-5-5-5-5),10,0.6,1.0,75.0,205.0,79.0,Orthodox,30.39835728952772,1.3,49.7,112.1,0.4433541480820696,3.4,0.4722222222222222,0.1,0.5,0.0,0.4004085801838611,15.68,0.6565656565656566,2.6,0.9302325581395349,1.6,0.38045977011494253,13.24,0.5779816513761468,2.52,0.7253521126760564,4.12,8,0.75,0.6666666666666666,74.0,205.0,78.0,Orthodox,36.97467488021903,0.9000000000000001,50.5,105.5,0.4786729857819905,1.25,0.5555555555555556,0.375,0.25,0.0,0.4090909090909091,11.25,0.6837606837606838,3.3333333333333335,0.8059701492537313,2.25,0.4226190476190476,11.833333333333334,0.7037037037037037,2.375,0.6923076923076923,2.625
33b2f68ef95252e0,5fceb95c29d929bc,e5010b1b94ca5755,193b9d1858bc4df3,193b9d1858bc4df3,4,8,Lightweight,M,5 Rnd (5-5-5-5-5),9,0.5555555555555556,0.6666666666666666,71.0,155.0,70.0,Orthodox,35.827515400410675,0.9000000000000001,44.666666666666664,106.0,0.42138364779874216,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.3112676056338028,9.208333333333334,0.717741935483871,3.7083333333333335,0.7666666666666667,3.8333333333333335,0.37004950495049505,12.458333333333334,0.7105263157894737,2.25,0.7,2.0416666666666665,9,0.6666666666666666,0.6666666666666666,72.0,155.0,75.0,Switch,30.023271731690624,0.9000000000000001,44.333333333333336,98.88888888888889,0.44831460674157303,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.0,0.3920704845814978,13.35,0.5,2.1,0.72,4.5,0.43099273607748184,17.8,0.4090909090909091,0.45,0.8095238095238095,1.7
fc9a9559a05f2704,e8219ea7da46f67f,80eacd4da0617c57,aa72b0f831d0bfe5,aa72b0f831d0bfe5,17,5,Flyweight,M,5 Rnd (5-5-5-5-5),11,0.8181818181818182,0.6666666666666666,64.0,125.0,65.0,Southpaw,35.58110882956879,0.9000000000000001,51.36363636363637,149.8181818181818,0.3428398058252427,1.4545454545454546,0.34782608695652173,0.09090909090909091,0.09090909090909091,0.0,0.2639676113360324,10.516129032258064,0.5418326693227091,4.387096774193548,0.6358024691358025,3.3225806451612905,0.30601092896174864,14.451612903225806,0.5952380952380952,2.4193548387096775,0.7241379310344828,1.3548387096774193,3,0.6666666666666666,0.6666666666666666,65.0,135.0,68.0,Orthodox,32.199863107460644,0.6,29.666666666666668,58.666666666666664,0.5056818181818182,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4557823129251701,9.571428571428571,0.7916666666666666,2.7142857142857144,0.6,0.42857142857142855,0.45864661654135336,8.714285714285714,0.64,2.2857142857142856,0.6666666666666666,1.7142857142857142
53278852bcd91e11,5cee1d8f1e43d6f5,427b5953ac8e3a27,23024fdfc966410a,23024fdfc966410a,24,6,Welterweight,M,3 Rnd (5-5-5),21,0.7142857142857143,0.6666666666666666,73.0,170.0,72.0,Southpaw,42.351813826146476,0.49999999999999994,26.238095238095237,59.904761904761905,0.4379968203497615,2.4285714285714284,0.2698412698412698,0.0,0.047619047619047616,0.0,0.38950276243093923,7.05,0.7175572519083969,1.5666666666666667,0.8292682926829268,0.5666666666666667,0.3186936936936937,4.716666666666667,0.6517857142857143,1.2166666666666666,0.7558139534883721,3.25,5,0.4,0.6666666666666666,70.0,170.0,71.0,Orthodox,33.65092402464066,0.2999999999999999,38.6,89.2,0.4327354260089686,1.4,0.35,0.2,0.2,0.0,0.32432432432432434,8.307692307692308,0.7678571428571429,3.3076923076923075,0.7368421052631579,3.230769230769231,0.37777777777777777,10.461538461538462,0.5789473684210527,1.6923076923076923,0.7291666666666666,2.6923076923076925
53278852bcd91e11,e0b323dae5bf4c90,ee9ebceabfd16fa7,07225ba28ae309b6,07225ba28ae309b6,5,18,Lightweight,M,5 Rnd (5-5-5-5-5),11,0.6363636363636364,0.3333333333333333,69.0,170.0,77.0,Orthodox,27.523613963039015,-0.10000000000000006,50.18181818181818,116.54545454545455,0.43057722308892354,2.1818181818181817,0.42857142857142855,0.09090909090909091,0.2727272727272727,0.0,0.38786279683377306,15.206896551724139,0.7322834645669292,3.206896551724138,1.0,0.6206896551724138,0.3237113402061856,10.827586206896552,0.78,1.3448275862068966,0.7595419847328244,6.862068965517241,17,0.5882352941176471,1.0,70.0,155.0,74.0,Orthodox,30.406570841889117,1.5000000000000002,23.529411764705884,45.11764705882353,0.5215123859191656,1.2352941176470589,0.44680851063829785,0.11764705882352941,0.23529411764705882,0.0,0.4337121212121212,7.15625,0.6726190476190477,3.53125,0.8169014084507042,1.8125,0.42857142857142855,7.21875,0.734375,2.9375,0.75,2.34375
53278852bcd91e11,dc45c8d70e256749,a8283a4f415e1eb9,c21a036b4e012f1c,a8283a4f415e1eb9,14,4,Lightweight,M,3 Rnd (5-5-5),12,0.6666666666666666,0.6666666666666666,69.0,170.0,70.0,Southpaw,41.555099247091036,0.30000000000000004,41.166666666666664,95.58333333333333,0.4306887532693984,0.75,0.5,0.16666666666666666,0.16666666666666666,0.0,0.34934497816593885,10.0,0.7175141242937854,3.96875,0.8703703703703703,1.46875,0.37801047120418846,11.28125,0.664,2.59375,0.746268656716418,1.5625,5,0.6,0.6666666666666666,68.0,155.0,68.0,Orthodox,34.86379192334018,0.49999999999999994,76.8,145.8,0.5267489711934157,0.0,0.0,0.4,0.4,0.0,0.4185022026431718,15.833333333333334,0.6569767441860465,9.416666666666666,0.7864077669902912,6.75,0.5239477503628447,30.083333333333332,0.5833333333333334,1.1666666666666667,0.5625,0.75
53278852bcd91e11,c26a3f4c08333886,b6452706b373eea1,38c626ca912c7bac,b6452706b373eea1,4,5,Lightweight,M,3 Rnd (5-5-5),3,0.3333333333333333,0.3333333333333333,71.0,155.0,72.0,Orthodox,30.8145106091718,-0.6,13.666666666666666,34.333333333333336,0.39805825242718446,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.0,0.36470588235294116,7.75,0.42857142857142855,0.75,0.6363636363636364,1.75,0.3595505617977528,8.0,1.0,0.5,0.5833333333333334,1.75,2,0.5,0.5,69.0,155.0,70.0,Orthodox,33.59890485968515,0.09999999999999998,45.5,90.0,0.5055555555555555,0.0,0.0,0.5,0.0,0.0,0.3925925925925926,8.833333333333334,0.7941176470588235,4.5,1.0,1.8333333333333333,0.45962732919254656,12.333333333333334,0.9285714285714286,2.1666666666666665,0.8,0.6666666666666666
53278852bcd91e11,b3c74554c871fbf8,b102c26727306ab6,792be9a24df82ed6,792be9a24df82ed6,12,4,Flyweight,M,3 Rnd (5-5-5),7,0.8571428571428571,1.0,65.0,125.0,67.0,Orthodox,34.91581108829569,1.3,19.857142857142858,44.142857142857146,0.44983818770226536,1.8571428571428572,0.5,0.2857142857142857,0.0,0.0,0.38257575757575757,5.315789473684211,0.7916666666666666,1.0,0.9047619047619048,1.0,0.38645418326693226,5.105263157894737,0.6,0.631578947368421,0.7894736842105263,1.5789473684210527,1,0.0,0.0,67.0,125.0,70.0,Orthodox,26.26694045174538,-0.5,45.0,161.0,0.2795031055900621,4.0,0.5,0.0,0.0,0.0,0.2,5.2,0.631578947368421,2.4,0.5833333333333334,1.4,0.2585034013605442,7.6,0.25,0.2,0.6,1.2
53278852bcd91e11,e2503ed6a1f9257d,94527830000ab715,be0b310a12eb80b4,Draw,13,4,Bantamweight,M,3 Rnd (5-5-5),7,0.7142857142857143,1.0,66.0,135.0,67.0,Orthodox,35.501711156741955,1.1000000000000003,15.571428571428571,43.0,0.36212624584717606,2.0,0.3888888888888889,0.0,0.0,0.0,0.23529411764705882,4.0,0.8292682926829268,2.4285714285714284,0.8636363636363636,1.3571428571428572,0.31868131868131866,6.214285714285714,0.5,0.42857142857142855,1.0,1.1428571428571428,2,1.0,1.0,67.0,145.0,70.0,Orthodox,30.87748117727584,0.9,67.0,166.5,0.4024024024024024,6.5,0.5909090909090909,0.0,0.0,0.0,0.30996309963099633,14.0,0.7073170731707317,4.833333333333333,1.0,3.5,0.3707482993197279,18.166666666666668,0.46153846153846156,1.0,0.7307692307692307,3.1666666666666665
898337ef520fe4d3,fcfaa28ed6888088,8d03ce87ca14e778,2cd428e9606856fd,8d03ce87ca14e778,8,5,Heavyweight,M,3 Rnd (5-5-5),5,0.6,0.6666666666666666,76.0,250.0,83.0,Orthodox,33.67556468172484,0.49999999999999994,9.6,37.8,0.25396825396825395,0.0,0.0,0.2,0.4,0.0,0.20710059171597633,3.1818181818181817,0.5714285714285714,0.7272727272727273,0.8333333333333334,0.45454545454545453,0.2215568862275449,3.3636363636363638,0.4166666666666667,0.45454545454545453,0.6,0.5454545454545454,2,1.0,1.0,74.0,242.0,78.0,Orthodox,32.145106091718,0.9,47.0,109.0,0.43119266055045874,0.0,0.0,1.0,1.0,0.0,0.3446327683615819,10.166666666666666,0.8,2.6666666666666665,0.8095238095238095,2.8333333333333335,0.3862433862433862,12.166666666666666,0.7037037037037037,3.1666666666666665,1.0,0.3333333333333333
898337ef520fe4d3,f2520dd5457ab293,d910665038efc639,eb04b9d31e938edb,d910665038efc639,9,7,Women's Strawweight,F,3 Rnd (5-5-5),1,1.0,1.0,61.0,115.0,63.0,Orthodox,32.580424366872,0.5,44.0,80.0,0.55,4.0,0.36363636363636365,0.0,0.0,0.0,0.45,9.0,0.7857142857142857,3.6666666666666665,1.0,2.0,0.4745762711864407,9.333333333333334,0.6666666666666666,2.0,0.8333333333333334,3.3333333333333335,4,0.25,0.3333333333333333,63.0,115.0,61.99999999999999,Orthodox,34.338124572210816,-0.6000000000000001,50.0,120.0,0.4166666666666667,1.5,0.35294117647058826,0.0,0.0,0.0,0.2828282828282828,6.461538461538462,0.5858585858585859,4.461538461538462,0.6904761904761905,4.461538461538462,0.3424317617866005,10.615384615384615,0.8,4.0,0.8333333333333334,0.7692307692307693
898337ef520fe4d3,d395828f5cb045a5,22a92d7f62195791,9e8f6c728eb01124,9e8f6c728eb01124,13,6,Lightweight,M,5 Rnd (5-5-5-5-5),8,1.0,1.0,71.0,170.0,76.0,Orthodox,36.238193018480494,1.5000000000000002,73.25,148.375,0.493681550126369,0.25,0.3333333333333333,0.0,0.125,0.0,0.40893854748603353,18.3,0.6733333333333333,5.05,0.8380281690140845,5.95,0.481216457960644,26.9,0.55,0.55,0.7551020408163265,1.85,3,0.6666666666666666,0.6666666666666666,71.0,155.0,70.0,Orthodox,31.482546201232033,0.6,58.333333333333336,102.66666666666667,0.5681818181818182,0.0,0.0,0.6666666666666666,1.0,0.0,0.44651162790697674,16.0,0.6875,1.8333333333333333,0.8831168831168831,11.333333333333334,0.5387453874538746,24.333333333333332,0.7941176470588235,4.5,0.6666666666666666,0.3333333333333333
