win,weight_diff,height_diff,reach_diff,age_diff,fighter_form_score,opponent_form_score,fighter_fight_no,opponent_fight_no,fighter_win_ratio,fighter_recent_win_ratio,opponent_win_ratio,opponent_recent_win_ratio,fighter_strikes_landed,fighter_strikes_attempted,fighter_strikes_accuracy,opponent_strikes_landed,opponent_strikes_attempted,opponent_strikes_accuracy,fighter_takedowns,fighter_takedown_accuracy,opponent_takedowns,opponent_takedown_accuracy,fighter_knockdowns,fighter_ko_ratio,opponent_knockdowns,opponent_ko_ratio,fighter_control_time,opponent_control_time
1,0.0,2.0,2.0,-0.9390828199863108,0.5,0.5,8,4,1.0,1.0,1.0,1.0,6.0,10.0,0.6,32.0,75.0,0.4266666666666667,0.0,0.0,13.0,0.8125,2.0,1.0,0.0,0.0,0.0,0.0
1,0.0,3.0,4.0,-6.050650239561946,0.5,-0.09999999999999998,4,4,1.0,1.0,0.5,0.5,3.0,5.0,0.6,41.5,85.0,0.48823529411764705,0.0,0.0,2.0,0.17391304347826086,0.0,0.0,0.5,0.0,0.0,0.0
1,0.0,-1.0,5.0,-3.285420944558524,0.5,-1.4000000000000001,9,8,1.0,1.0,0.0,0.0,45.0,68.0,0.6617647058823529,24.0,54.5,0.44036697247706424,4.0,0.5714285714285714,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1,-20.0,0.0,-3.0,-7.140314852840518,0.5,-0.5,4,4,1.0,1.0,0.0,0.0,42.0,79.0,0.5316455696202531,6.0,23.0,0.2608695652173913,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0,-2.0,-1.0,-9.77138945927447,-0.5,0.7000000000000002,8,5,0.0,0.0,0.8888888888888888,0.6666666666666666,19.0,64.0,0.296875,30.77777777777778,89.77777777777777,0.34282178217821785,2.0,0.2222222222222222,0.2222222222222222,1.0,0.0,0.0,1.0,0.7777777777777778,0.0,0.0
1,0.0,0.0,5.0,0.0,-0.09999999999999998,0.5,5,4,0.5,0.5,1.0,1.0,10.0,16.0,0.625,19.0,30.0,0.6333333333333333,0.5,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0.0,0.0
1,0.0,1.0,4.0,-2.064339493497606,0.5,0.09999999999999998,5,4,1.0,1.0,0.5,0.5,6.0,17.0,0.35294117647058826,52.5,113.0,0.4646017699115044,1.0,1.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,2.0,2.0,1.3935660506502394,0.5,1.2000000000000002,7,4,1.0,1.0,1.0,1.0,36.0,77.0,0.4675324675324675,29.0,56.0,0.5178571428571429,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0
1,-45.0,-1.0,-2.0,1.9438740588637913,0.5,0.5,6,3,1.0,1.0,1.0,1.0,83.0,176.0,0.4715909090909091,15.0,21.0,0.7142857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.0,-1.0,-3.0,-5.839835728952771,1.4000000000000001,0.9,9,3,1.0,1.0,1.0,1.0,32.25,74.0,0.4358108108108108,41.5,63.0,0.6587301587301587,0.25,1.0,3.0,0.5454545454545454,0.75,0.5,0.0,0.0,0.0,0.0
1,15.0,3.0,2.0,4.878850102669407,0.9,0.5,8,5,1.0,1.0,1.0,1.0,11.0,12.0,0.9166666666666666,24.0,64.0,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1,0.0,3.0,4.0,6.0533880903490775,0.5,0.5,9,3,1.0,1.0,1.0,1.0,27.0,57.0,0.47368421052631576,12.0,27.0,0.4444444444444444,2.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,4.0,0.06570841889116963,1.2000000000000002,0.09999999999999998,8,4,1.0,1.0,0.5,0.5,30.333333333333332,68.66666666666667,0.441747572815534,15.5,39.0,0.3974358974358974,1.0,0.42857142857142855,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0
1,0.0,-2.0,-4.0,-3.3347022587268995,0.5,0.4,6,4,1.0,1.0,0.6666666666666666,0.6666666666666666,8.0,19.0,0.42105263157894735,10.0,16.666666666666668,0.6,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
1,0.0,-3.0,-2.0,-0.5284052019164953,0.09999999999999998,0.9,9,3,0.5,0.5,1.0,1.0,16.0,49.5,0.32323232323232326,56.5,144.5,0.39100346020761245,1.0,0.2222222222222222,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
1,0.0,-1.0,2.0,0.9828884325804239,0.5,-0.5000000000000002,8,9,1.0,1.0,0.16666666666666666,0.3333333333333333,6.0,20.0,0.3,35.666666666666664,79.5,0.44863731656184486,3.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
